% cm1    RALfore    TotalErr    / RAL (400K), 100 points smoothed;   Burch T-definition /
%    / Ptashnik et al., Phil. Trans. R. Soc. (A), 370, 2557-2577 (2012) /
3300    3.13E-24   8.9E-25 
3310    3.11E-24   8.9E-25 
3320    3.37E-24   9.6E-25 
3330    3.49E-24   9.6E-25 
3340    3.77E-24   1.1E-24 
3350    4.24E-24   1.3E-24 
3360    4.83E-24   1.5E-24 
3370    4.98E-24   1.4E-24 
3380    5.43E-24   1.4E-24 
3390    6.11E-24   1.4E-24 
3400    6.22E-24   1.4E-24 
3410    6.90E-24   1.6E-24 
3420    7.84E-24   1.8E-24 
3430    9.10E-24   2.1E-24 
3440    1.02E-23   2.4E-24 
3450    1.13E-23   2.6E-24 
3460    1.31E-23   3.0E-24 
3470    1.43E-23   3.3E-24 
3480    1.75E-23   4.0E-24 
3490    1.97E-23   4.5E-24 
3500    2.15E-23   4.9E-24 
3510    2.36E-23   5.4E-24 
3520    2.61E-23   6.0E-24 
3530    2.89E-23   6.6E-24 
3540    3.14E-23   7.2E-24 
3550    3.49E-23   8.1E-24 
3560    3.89E-23   8.9E-24 
3570    4.37E-23   9.6E-24 
3580    5.08E-23   1.2E-23 
3940    2.26E-23   5.0E-24 
3950    1.92E-23   4.3E-24 
3960    1.52E-23   3.4E-24 
3970    1.21E-23   2.7E-24 
3980    9.62E-24   2.1E-24 
3990    8.14E-24   1.8E-24 
4000    7.16E-24   1.6E-24 
4010    6.25E-24   1.4E-24 
4020    5.34E-24   1.2E-24 
4030    4.54E-24   1.0E-24 
4040    3.86E-24   8.9E-25 
4050    3.40E-24   7.4E-25 
4060    3.01E-24   7.1E-25 
4070    2.59E-24   6.4E-25 
4080    2.35E-24   6.0E-25 
4090    2.22E-24   5.8E-25 
4100    1.98E-24   5.3E-25 
4110    1.85E-24   5.0E-25 
4120    1.78E-24   4.8E-25 
4130    1.61E-24   4.4E-25 
4140    1.32E-24   3.6E-25 
4150    1.26E-24   3.4E-25 
4160    1.12E-24   3.0E-25 
4170    1.03E-24   2.8E-25 
4180    9.55E-25   2.6E-25 
4190    9.03E-25   2.4E-25 
4200    8.29E-25   2.2E-25 
4210    7.70E-25   2.2E-25 
4220    7.06E-25   2.1E-25 
4230    6.89E-25   2.2E-25 
4240    6.53E-25   2.1E-25 
4250    6.12E-25   2.0E-25 
4260    5.75E-25   1.8E-25 
4270    4.95E-25   1.7E-25 
4280    4.40E-25   1.6E-25 
4290    4.19E-25   1.5E-25 
4300    3.92E-25   1.4E-25 
4310    3.64E-25   1.3E-25 
4320    3.47E-25   1.3E-25 
4330    3.18E-25   1.3E-25 
4340    3.13E-25   1.3E-25 
4350    3.23E-25   1.3E-25 
4360    2.91E-25   1.2E-25 
4370    2.58E-25   1.1E-25 
4380    2.49E-25   1.1E-25 
4390    2.41E-25   1.1E-25 
4400    2.38E-25   1.2E-25 
4410    2.32E-25   1.2E-25 
4420    2.11E-25   1.0E-25 
4430    1.97E-25   1.0E-25 
4440    1.92E-25   9.6E-26 
4450    1.84E-25   9.6E-26 
4460    1.74E-25   9.6E-26 
4470    1.66E-25   8.9E-26 
4480    1.58E-25   8.9E-26 
4490    1.49E-25   8.1E-26 
4500    1.48E-25   8.1E-26 
4510    1.44E-25   8.1E-26 
4520    1.37E-25   7.4E-26 
4530    1.31E-25   7.2E-26 
4540    1.20E-25   6.6E-26 
4550    1.17E-25   6.4E-26 
4560    1.19E-25   6.6E-26 
4570    1.08E-25   6.0E-26 
4580    9.99E-26   5.6E-26 
4590    1.07E-25   6.0E-26 
4600    1.07E-25   6.3E-26 
4610    1.01E-25   6.2E-26 
4620    9.47E-26   6.1E-26 
4630    9.10E-26   6.1E-26 
4640    8.88E-26   6.4E-26 
4650    8.66E-26   6.5E-26 
4660    9.03E-26   6.7E-26 
4670    8.95E-26   6.6E-26 
4680    8.73E-26   6.4E-26 
4690    8.29E-26   6.2E-26 
4700    7.99E-26   6.2E-26 
4710    7.70E-26   6.1E-26 
4720    7.23E-26   5.9E-26 
4730    6.83E-26   5.6E-26 
4740    7.23E-26   6.1E-26 
4750    6.86E-26   5.9E-26 
4760    5.88E-26   5.2E-26 
4770    5.67E-26   5.1E-26 
4780    6.19E-26   5.6E-26 
4790    6.22E-26   5.7E-26 
4800    5.16E-26   4.8E-26 
4810    5.62E-26   4.9E-26 
4820    6.28E-26   5.1E-26 
4830    5.59E-26   4.2E-26 
4840    4.85E-26   3.8E-26 
4850    4.88E-26   3.8E-26 
4860    4.94E-26   3.9E-26 
4870    5.01E-26   4.1E-26 
4880    5.06E-26   4.4E-26 
4890    6.03E-26   5.4E-26 
4900    6.65E-26   6.0E-26 
4910    7.16E-26   6.4E-26 
4920    6.56E-26   5.9E-26 
4930    6.19E-26   5.0E-26 
4940    6.88E-26   4.8E-26 
4950    8.07E-26   4.8E-26 
4960    8.51E-26   4.7E-26 
4970    1.10E-25   5.4E-26 
4980    1.41E-25   6.2E-26 
4990    1.52E-25   6.1E-26 
5000    1.69E-25   6.1E-26 
5010    1.92E-25   6.1E-26 
5020    2.06E-25   6.0E-26 
5030    2.58E-25   6.7E-26 
5040    3.23E-25   7.4E-26 
5050    4.01E-25   8.9E-26 
5060    5.22E-25   1.0E-25 
5070    6.47E-25   1.2E-25 
5080    7.84E-25   1.6E-25 
5090    9.84E-25   2.1E-25 
5100    1.30E-24   2.9E-25 
5110    1.64E-24   3.3E-25 
5120    2.03E-24   3.7E-25 
5130    2.60E-24   4.2E-25 
5140    3.17E-24   5.2E-25 
5150    4.08E-24   6.7E-25 
5160    5.34E-24   8.9E-25 
5170    6.59E-24   1.1E-24 
5180    7.70E-24   1.3E-24 
5190    9.92E-24   1.6E-24 
5200    1.30E-23   2.1E-24 
5210    1.60E-23   2.7E-24 
5500    1.08E-23   1.9E-24 
5510    9.84E-24   1.8E-24 
